,index_content,word,nature,content_type,index_word
0,1,东西,ns,pos,1
11,1,品牌,n,pos,6
14,1,信赖,n,pos,8
16,1,东西,ns,pos,9
17,1,整体,n,pos,10
20,1,个人感觉,n,pos,11
33,2,师傅,nr,pos,2
36,2,力,n,pos,3
52,4,自营,vn,pos,2
53,4,商品,n,pos,3
57,4,发货,n,pos,4
58,4,速度,n,pos,5
61,4,品质,n,pos,6
66,4,效果,n,pos,9
69,4,宝贝,nr,pos,10
75,4,小时,n,pos,13
77,4,热水,n,pos,14
80,4,自营,vn,pos,15
82,4,信赖,n,pos,17
86,4,自营,vn,pos,20
93,5,评价,n,pos,2
96,5,产品,n,pos,3
102,5,保温,n,pos,6
103,5,时间,n,pos,7
114,5,情况,n,pos,15
121,5,售后,n,pos,19
122,5,大姐,n,pos,20
124,5,服务,vn,pos,21
141,6,速度,n,pos,5
150,7,价格合理,n,pos,1
156,7,物美,nz,pos,4
157,7,价值,n,pos,5
158,8,老师,n,pos,1
178,9,习惯,n,pos,2
198,9,吊顶,n,pos,7
205,9,话,n,pos,9
215,9,遥控器,n,pos,11
217,9,电池,n,pos,12
221,9,哥,n,pos,14
237,9,空气,n,pos,20
238,9,净化器,n,pos,21
241,9,中,ns,pos,24
249,9,时间,n,pos,25
250,9,冰箱,n,pos,26
253,9,洗衣机,n,pos,28
258,9,小厨,n,pos,31
259,9,宝降,nr,pos,32
261,9,烟灶,n,pos,33
265,9,客服,n,pos,35
270,9,电话,n,pos,38
273,9,中,ns,pos,41
280,10,小哥,n,pos,2
284,10,工作,vn,pos,3
291,10,老房子,n,pos,6
298,10,费力,n,pos,9
307,10,楼,n,pos,13
310,10,热水,n,pos,14
312,10,裙子,n,pos,15
318,10,小哥,n,pos,18
333,10,品牌,n,pos,24
335,10,质量,n,pos,25
359,11,店家,n,pos,9
371,11,老板,n,pos,13
372,11,面,n,pos,14
383,12,变频,vn,pos,3
385,12,能效,n,pos,5
388,12,效果,n,pos,7
397,13,购物,n,pos,1
402,13,电器,n,pos,2
406,13,型号,n,pos,4
412,13,型号,n,pos,5
429,13,下线,n,pos,8
433,13,师傅,nr,pos,10
446,13,购物,n,pos,14
454,13,安装费,n,pos,17
455,13,花元,nr,pos,18
463,13,料,n,pos,21
470,13,伞,n,pos,23
479,13,麻烦,an,pos,25
482,14,物流,n,pos,1
502,14,师傅,nr,pos,8
516,14,效果,n,pos,10
520,14,售后,n,pos,11
531,15,价格,n,pos,2
533,15,产品质量,n,pos,3
535,15,货运,n,pos,4
538,15,调试,vn,pos,6
540,15,工作人员,n,pos,7
541,15,服务态度,n,pos,8
551,16,收费,n,pos,1
553,16,速度,n,pos,3
556,16,管道,n,pos,5
575,17,差点,n,pos,4
598,18,评价,n,pos,5
601,18,字,n,pos,7
607,19,人员,n,pos,3
610,19,专业,n,pos,4
613,19,信赖,n,pos,6
632,21,太阳能,n,pos,2
645,22,感觉,n,pos,2
655,22,热水,n,pos,8
667,23,品牌,n,pos,4
693,25,太阳,ns,pos,4
696,26,售后,n,pos,1
705,27,质量,n,pos,1
708,27,暖水,n,pos,3
718,29,下单,n,pos,3
725,29,员工,n,pos,7
726,29,上门,ns,pos,8
729,29,速度,n,pos,10
730,29,效率,n,pos,11
739,29,师傅,nr,pos,17
742,29,专业,n,pos,19
750,29,鞋套,n,pos,22
753,29,过程,n,pos,24
755,29,弄脏,n,pos,25
757,29,地方,n,pos,26
764,29,试用,vn,pos,30
768,29,量,n,pos,31
771,29,人用,n,pos,33
775,30,东西,ns,pos,1
778,30,价格,n,pos,3
780,30,实惠,vn,pos,4
790,30,省,n,pos,8
791,30,电,n,pos,9
793,30,老爸,n,pos,10
797,30,气,n,pos,12
799,30,遥控,vn,pos,13
801,30,灵敏,nr,pos,14
804,30,客服,n,pos,15
815,30,规范,n,pos,19
830,31,电话,n,pos,3
833,31,师傅,nr,pos,4
839,31,师傅,nr,pos,6
840,31,态度,n,pos,7
855,31,墙面,n,pos,14
865,31,收费,n,pos,18
871,31,块钱,n,pos,19
881,31,海尔,nrt,pos,22
888,31,漏水,n,pos,24
891,31,售后,n,pos,25
895,31,内胆,n,pos,26
909,31,总体,n,pos,32
921,32,售后,n,pos,2
923,32,认真负责,n,pos,3
926,32,货物,n,pos,4
928,32,目的地,n,pos,6
931,32,咨询,vn,pos,7
933,32,事宜,n,pos,9
935,32,指导,n,pos,10
937,32,人员,n,pos,12
944,32,厂家,n,pos,14
946,32,感觉,n,pos,15
949,32,销量,n,pos,17
954,32,人员,n,pos,20
962,33,质量,n,pos,1
967,33,卖家,n,pos,2
981,33,期望值,n,pos,9
984,33,发货,n,pos,10
985,33,速度,n,pos,11
997,33,物流,n,pos,15
998,33,公司,n,pos,16
1000,33,服务态度,n,pos,17
1005,33,速度,n,pos,19
1013,33,购物,n,pos,22
1014,34,速度,n,pos,1
1017,34,服务,vn,pos,2
1021,34,师傅,nr,pos,4
1041,34,材料费,n,pos,11
1057,35,质量,n,pos,4
1061,35,服务态度,n,pos,7
1065,35,教给,vn,pos,8
1082,36,总体,n,pos,2
1083,36,感觉,n,pos,3
1086,36,保温,n,pos,5
1087,36,性能,n,pos,6
1095,36,遥控器,n,pos,7
1097,36,功能,n,pos,8
1099,36,小孩子,n,pos,9
1109,37,商城,ns,pos,2
1112,37,优质,n,pos,4
1114,37,服务,vn,pos,5
1118,37,管理,vn,pos,7
1120,37,物流配送,n,pos,8
1140,37,热情,n,pos,13
1145,37,收件,n,pos,15
1151,37,时间,n,pos,17
1156,37,商城,ns,pos,19
1158,37,售后,n,pos,20
1159,37,管理,vn,pos,21
1168,37,客户,n,pos,23
1169,37,忧患,n,pos,24
1178,37,购物,n,pos,27
1179,37,体验,n,pos,28
1253,38,活动,vn,pos,2
1259,38,农村,n,pos,3
1268,38,试用,vn,pos,7
1274,38,烧水,n,pos,9
1276,38,水量,n,pos,10
1278,38,压力,n,pos,12
1284,38,遥控器,n,pos,14
