,index_content,word,nature,content_type,index_word
0,1,东西,ns,pos,1
1,1,收到,v,pos,2
2,1,这么久,r,pos,3
5,1,忘,v,pos,4
8,1,好评,v,pos,5
11,1,品牌,n,pos,6
13,1,值得,v,pos,7
14,1,信赖,n,pos,8
16,1,东西,ns,pos,9
17,1,整体,n,pos,10
20,1,个人感觉,n,pos,11
22,1,不错,a,pos,12
29,1,值得,v,pos,13
30,1,拥有,v,pos,14
32,2,安装,v,pos,1
33,2,师傅,nr,pos,2
36,2,力,n,pos,3
41,2,感谢,v,pos,4
45,3,安装,v,pos,1
48,3,满意,v,pos,2
49,4,收到,v,pos,1
52,4,自营,vn,pos,2
53,4,商品,n,pos,3
57,4,发货,n,pos,4
58,4,速度,n,pos,5
61,4,品质,n,pos,6
63,4,保障,v,pos,7
65,4,安装,v,pos,8
66,4,效果,n,pos,9
69,4,宝贝,nr,pos,10
71,4,喜欢,v,pos,11
73,4,冬天,t,pos,12
75,4,小时,n,pos,13
77,4,热水,n,pos,14
80,4,自营,vn,pos,15
81,4,值得,v,pos,16
82,4,信赖,n,pos,17
84,4,值得,v,pos,18
85,4,推荐,v,pos,19
86,4,自营,vn,pos,20
90,5,几次,m,pos,1
93,5,评价,n,pos,2
96,5,产品,n,pos,3
98,5,满意,v,pos,4
100,5,加热,v,pos,5
102,5,保温,n,pos,6
103,5,时间,n,pos,7
104,5,长,a,pos,8
106,5,售后服务,l,pos,9
107,5,特别,d,pos,10
110,5,主动,b,pos,11
111,5,打电话,l,pos,12
112,5,询问,v,pos,13
113,5,送货,v,pos,14
114,5,情况,n,pos,15
115,5,帮,v,pos,16
118,5,安装,v,pos,17
120,5,非常感谢,i,pos,18
121,5,售后,n,pos,19
122,5,大姐,n,pos,20
124,5,服务,vn,pos,21
126,5,下次,t,pos,22
127,5,购买,v,pos,23
132,6,物美价廉,l,pos,1
135,6,特别,d,pos,2
136,6,划算,v,pos,3
140,6,加热,v,pos,4
141,6,速度,n,pos,5
144,6,家里,s,pos,6
147,6,不错,a,pos,7
148,6,特别,d,pos,8
150,7,价格合理,n,pos,1
152,7,配置,v,pos,2
154,7,高,a,pos,3
156,7,物美,nz,pos,4
157,7,价值,n,pos,5
158,8,老师,n,pos,1
160,8,装,v,pos,2
165,8,装修,v,pos,3
166,8,中,f,pos,4
169,8,试,v,pos,5
171,8,希望,v,pos,6
176,9,五分,m,pos,1
178,9,习惯,n,pos,2
180,9,送,v,pos,3
184,9,装,v,pos,4
193,9,装修,v,pos,5
195,9,中,f,pos,6
198,9,吊顶,n,pos,7
200,9,装,v,pos,8
205,9,话,n,pos,9
212,9,醉,v,pos,10
215,9,遥控器,n,pos,11
217,9,电池,n,pos,12
220,9,安装,v,pos,13
221,9,哥,n,pos,14
222,9,车里,s,pos,15
225,9,备用,v,pos,16
227,9,给装,v,pos,17
233,9,赠送,v,pos,18
235,9,电动牙刷,l,pos,19
237,9,空气,n,pos,20
238,9,净化器,n,pos,21
239,9,等待,v,pos,22
240,9,配送,v,pos,23
241,9,中,ns,pos,24
249,9,时间,n,pos,25
250,9,冰箱,n,pos,26
251,9,降,v,pos,27
253,9,洗衣机,n,pos,28
254,9,降,v,pos,29
256,9,降,v,pos,30
258,9,小厨,n,pos,31
259,9,宝降,nr,pos,32
261,9,烟灶,n,pos,33
262,9,套降,v,pos,34
265,9,客服,n,pos,35
267,9,上报,v,pos,36
268,9,解决,v,pos,37
270,9,电话,n,pos,38
271,9,通知,v,pos,39
272,9,等待,v,pos,40
273,9,中,ns,pos,41
278,10,安装,v,pos,1
280,10,小哥,n,pos,2
284,10,工作,vn,pos,3
286,10,尽心,d,pos,4
289,10,家,m,pos,5
291,10,老房子,n,pos,6
293,10,安装,v,pos,7
296,10,家,m,pos,8
298,10,费力,n,pos,9
300,10,安装,v,pos,10
303,10,不错,a,pos,11
306,10,整栋,m,pos,12
307,10,楼,n,pos,13
310,10,热水,n,pos,14
312,10,裙子,n,pos,15
313,10,只能,v,pos,16
315,10,装,v,pos,17
318,10,小哥,n,pos,18
319,10,点,m,pos,19
321,10,赞,v,pos,20
325,10,二个,m,pos,21
328,10,一如既往,i,pos,22
330,10,好用,v,pos,23
333,10,品牌,n,pos,24
335,10,质量,n,pos,25
338,11,前,f,pos,1
339,11,天下,s,pos,2
340,11,单买,v,pos,3
344,11,用上,v,pos,4
349,11,发现,v,pos,5
353,11,街上,s,pos,6
354,11,卖,v,pos,7
356,11,便宜,a,pos,8
359,11,店家,n,pos,9
363,11,网上,s,pos,10
365,11,他家,r,pos,11
366,11,贵,a,pos,12
371,11,老板,n,pos,13
372,11,面,n,pos,14
375,11,网上,s,pos,15
379,12,冲着,p,pos,1
381,12,以内,f,pos,2
383,12,变频,vn,pos,3
384,12,级,q,pos,4
385,12,能效,n,pos,5
387,12,制冷,v,pos,6
388,12,效果,n,pos,7
390,12,不错,a,pos,8
397,13,购物,n,pos,1
402,13,电器,n,pos,2
403,13,问,v,pos,3
406,13,型号,n,pos,4
412,13,型号,n,pos,5
415,13,相识,v,pos,6
423,13,家电,j,pos,7
429,13,下线,n,pos,8
432,13,安装,v,pos,9
433,13,师傅,nr,pos,10
440,13,挺好,a,pos,11
443,13,加热,v,pos,12
444,13,很快,d,pos,13
446,13,购物,n,pos,14
448,13,满意,v,pos,15
452,13,走用,v,pos,16
454,13,安装费,n,pos,17
455,13,花元,nr,pos,18
459,13,喷头,v,pos,19
462,13,槊,g,pos,20
463,13,料,n,pos,21
469,13,花,v,pos,22
470,13,伞,n,pos,23
472,13,安装,v,pos,24
479,13,麻烦,an,pos,25
482,14,物流,n,pos,1
486,14,早上,t,pos,2
487,14,送来,v,pos,3
490,14,中午,t,pos,4
493,14,安装,v,pos,5
496,14,安装,v,pos,6
501,14,安装,v,pos,7
502,14,师傅,nr,pos,8
506,14,负责,v,pos,9
516,14,效果,n,pos,10
520,14,售后,n,pos,11
521,14,确实,ad,pos,12
528,15,满意,v,pos,1
531,15,价格,n,pos,2
533,15,产品质量,n,pos,3
535,15,货运,n,pos,4
537,15,安装,v,pos,5
538,15,调试,vn,pos,6
540,15,工作人员,n,pos,7
541,15,服务态度,n,pos,8
545,15,售后服务,l,pos,9
551,16,收费,n,pos,1
552,16,安装,v,pos,2
553,16,速度,n,pos,3
554,16,很快,d,pos,4
556,16,管道,n,pos,5
557,16,走,v,pos,6
560,16,整齐,d,pos,7
562,16,不错,a,pos,8
566,17,几天,m,pos,1
570,17,想,v,pos,2
572,17,晒,v,pos,3
575,17,差点,n,pos,4
576,17,忘,v,pos,5
579,17,这款,r,pos,6
585,17,喜欢,v,pos,7
588,18,安装,v,pos,1
591,18,没用,v,pos,2
596,18,不多,d,pos,3
597,18,做,v,pos,4
598,18,评价,n,pos,5
600,18,凑,v,pos,6
601,18,字,n,pos,7
